NAME,TAGLINE,HQ REGION,HQ COUNTRY,HQ CITY kész,LATITUDE,LONGITUDE,TOTAL FUNDING (EUR M) kész,TAGS,INDUSTRIES,SUB INDUSTRIES,GROWTH STAGE,INVESTORS,EACH INVESTOR TYPES,Closest FUA
DeltaQ,A Belgian saas solution that uses machine learning technology to continuously steer HVAC systems of buildings by using all available building and weather forecast data,Europe,Belgium,Brussels,50.85511,4.34728,8.0,building energy efficiency;predictive analytics;sustainable development goals;saas and iot for cooling;urban tech;climate tech,energy,energy efficiency,early growth,Aconterra;SFPI-FPIM;Impact House;Quanteus Group;3E,venture_capital;venture_capital;corporate;corporate;corporate,Brussels
Resortecs,Aiming circular transition in fashion with heat-dissolvable stitching threads and thermal disassembly systems that make recycling easy,Europe,Belgium,Brussels,50.83972895,4.31893569,2.5,recycling;circular economy;waste reduction;sustainability measurement,fashion;energy,waste solution,early growth,Fashion For Good;RESPOND Accelerator;globalchangeaward.com;PMV;EIC Fund (European Innovation Council Fund);European Innovation Council;Start it @KBC,corporate;accelerator;corporate;venture_capital;venture_capital;government;accelerator,Brussels
Haulogy,Publisher of software mainly dedicated to distribution grid operators and energy suppliers operating in the gas,Europe,Belgium,Brussels,50.601671,4.191064,7.5,energy tech;industrial technology,energy,,late growth,SRIW;S.R.I.W.;Junction Growth Investors,"venture_capital;venture_capital;private_equity,venture_capital",Brussels
Zencar,Brussels-based carsharing service delivered through a 100% electric vehicle fleet and numerous charging stations,Europe,Belgium,Brussels,50.8154234,4.371465,1.9,car;car rental;car sharing;sustainable development goals;micromobility;climate tech;ev services;electric mobility,energy;transportation,logistics & delivery;vehicle production,seed,Spreds;Inventures Investment Partners;MOOVEE MOBILITY,crowdfunding;venture_capital;corporate,Brussels
bonapp.eco,Subscription service that sends customers a box of surprises every month,Europe,Romania,Bucharest,44.4361414,26.1027202,1.0,food waste;waste reduction;sustainable development goals;climate tech;circular economy,food;energy,agritech,early growth,ROCA X;Early Game Ventures;Impact Ventures;Up Romania;SeedBlink,corporate;venture_capital;venture_capital;corporate;crowdfunding,Bucharest
Poliloop,We make non-biodegradable plastics microbially biodegrade and then turn the byproducts into valuable end products,Europe,Hungary,Budapest,47.49973,19.05508,1.93,plastic;sustainable development goals;industrial technology;advanced materials;climate tech,energy,,seed,Techstars;RESPOND Accelerator;Plug and Play;Techstars Berlin;Techstars Dubai;Techstars Berlin Accelerator;Vespucci Partners;Plug & Play Topeka;Techstars Boston;Techstars Stockholm;Techstars Paris,accelerator;accelerator;venture_capital;accelerator;accelerator;accelerator;venture_capital;accelerator;accelerator;accelerator;accelerator,Budapest
Solar Markt Group,"A holding company owned by domestic investors, focusing on renewable energy investments, whose primary strategic target is solar energy",Europe,Hungary,Budapest,47.4979937,19.0403594,12.69,solar energy;climate tech;sustainable development goals,energy;service provider,consulting;clean energy,late growth,Hiventures,"private_equity,venture_capital",Budapest
Sinay,SINAY develops a Big Data solution applied to maritime industries and the study of the marine environment,Europe,France,Caen,49.201938,-0.3922621,2.09,marine;sustainable development goals;industrial analytics;industrial technology;space tech;climate tech;esa;esa sme;space downstream;space tech to maritime;blue economy;esa bass;nature conservation;bluetech,energy,water,late growth,Mans Sarthe Investissements;Ouest Angels;Business Angels Des Grandes Ecoles;European Innovation Council;Alpana Ventures;Normandy Ventures;Crédit Agricole Regions Investment;BNP Paribas;Plug and Play;Ocean Solutions Accelerator;BADGE;Sustainable Ocean Alliance,angel_fund;angel_fund;angel_fund;government;venture_capital;venture_capital;corporate;corporate;venture_capital;accelerator;angel_fund;non-profit,Rennes
Helioclim,"Innovative solution for reversible climate control, supplied by concentrative thermic solar energy systems",Europe,France,Cannes,43.569123,6.944906,1.8,solar energy;sustainable development goals;climate tech,energy,clean energy,early growth,Région Sud Investissement;Rhone-Alpes Creation;Arts&Metiers Business Angels,venture_capital;venture_capital;venture_capital,Nice
Solean,We help you produce photovoltaic panels more economically with greater agility and higher yields,Europe,France,Chambery,45.6462379,5.8671749,2.0,solar energy;sustainable development goals;climate tech,energy,clean energy,seed,EIT InnoEnergy;Savoie Mont Blanc Angels,venture_capital;angel_fund,Grenoble
ATAWEY,ATAWEY designs and manufactures turnkey autonomous energy solutions for isolated sites,Europe,France,Chambery,45.64427,5.86201,13.3,sustainable development goals;hydrogen;climate tech;novel energy;hydrogen novel energy,energy;transportation,,early growth,Starquest Capital;EIT InnoEnergy;EIT Climate-KIC;Bpifrance;Banque Populaire Auvergne Rhône Alpes;IDEC Group;Crédit Agricole Alpes Développement;BNP Paribas,venture_capital;venture_capital;accelerator;venture_capital;private_equity;corporate;venture_capital;investment fund,Grenoble
Green Corp Konnection,Technology solutions to accelerate the decarbonisation of transport,Europe,France,Chambery,45.6470041,5.8595715,15.0,sustainable development goals;lithium ion batteries;ev battery;ev motor;battery;ev battery production;electric mobility;climate tech,energy;transportation,vehicle production;maintenance;energy storage,early growth,,,Grenoble
OSMOSUN® by Mascara,"Developed the world’s first industrialized reverse osmosis desalination technology coupled with photovoltaic solar energy, without battery, supplying everyone, everywhere, with drinking water at a competitive price without CO2 emissions",Europe,France,Chartres,48.4344913,1.5283062,2.2,solar energy;sustainable development goals;desalination;climate tech;bluetech,food;energy,water;clean energy,early growth,GO Capital;Wiseed;GAIA impact fund,venture_capital;crowdfunding;venture_capital,Paris
Geocollect,GeoCollect designs and develops absorber systems for homes and buildings,Europe,Germany,Chemnitz,50.8376124,12.89335179,0.91,geothermal energy;water heating;sustainable development goals;climate tech,real estate;energy,construction;energy efficiency,seed,European Innovation Council,government,Dresden
RecyOuest,Offers recycling services to organizations in charge of collecting agricultural plastic waste,Europe,France,Cherbourg,49.6561,-1.268764,3.0,sustainable development goals;climate tech;waste reduction;circular economy;recycling;plastic pollution,food;energy,waste solution;agritech,seed,Caisse des Dépôts - CDC Group,sovereign_wealth_fund,Rennes
Carbios,"Creates a new generation of fully biodegradable plastics with a controlled lifespan, a process enabling infinite biorecycling of plastic waste",Europe,France,Clermont-Ferrand,45.850026,3.166847,7.4,recycling;waste reduction;polymer;chemical;plastic;sustainable development goals;advanced materials;industrial technology;innovative material tech;polymers and polymer alternatives;chemistry;climate tech;biotechnology;circular economy;plastic pollution,energy,waste solution,late growth,Truffle Capital;Investments for the Future (PIA);Nestlé;PepsiCo;Suntory Holdings,"private_equity,venture_capital;venture_capital;corporate;corporate;corporate",Lyon
"Eneida Wireless & Sensors, S.A.",Grid optimisation software and sensor networks,Europe,Portugal,Coimbra,40.1926596,-8.413899,7.21,optimization;remote;smart sensor;energy tech;industrial technology,energy,energy efficiency,late growth,Portugal Ventures;EIT InnoEnergy;HCapital Partners;Korys;200M,"venture_capital;venture_capital;private_equity,venture_capital;family_office;venture_capital",Porto
Installion,Installion is an innovative start-up with the aim of digitizing the energy industry by placing our partners' orders with competent electricians,Europe,Germany,Cologne,50.9281109,7.0611421,4.0,sustainable development goals;climate tech;solar energy,energy,clean energy,late growth,Christoph Ostermann;Eneco Ventures;LichtBlick,angel;corporate_venture_fund;company,Cologne
VYTAL,Offering smart and reusable to-go packaging-as-a-service to gastronomy clients and consumers,Europe,Germany,Cologne,50.9485731,6.9629492,11.09,packaging;sustainable packaging;sustainable development goals;climate tech;food waste;waste reduction;circular economy,food;energy,waste solution,late growth,Gateway ESC;Nixdorf Kapital Impact Fund;Burning Issues Impact Fund;Kai Hansen;XDECK;Caesar Business Angels;Polipo Ventures;HW Capital;Lawrence Leuschner;Grazia Equity;Rubio Impact Ventures,accelerator;venture_capital;investment fund;angel;accelerator;venture_capital;venture_capital;venture_capital;angel;venture_capital;venture_capital,Cologne
Sunvigo,Offers a solar system for free combined with a flexible electricity contract,Europe,Germany,Cologne,50.937531,6.9602786,26.1,solar energy;sustainable development goals;climate tech;green buildings;urban tech,energy,energy providers;clean energy,late growth,Übermorgen Ventures;Ecosummit Ventures Management;High-Tech Gründerfonds;Sparta Capital;Deutsche Kreditbank;Eneco Ventures;Triodos Investment Management;Future Energy Ventures;Sparta Capital .,"venture_capital;corporate;venture_capital;venture_capital;corporate;corporate_venture_fund;advisor,corporate_venture_fund;corporate_venture_fund,venture_capital;venture_capital",Cologne
GreenPocket,Energy management software that can sustainably improve their energy efficiency with residential and commercial customers,Europe,Germany,Cologne,50.966436,7.0099492,7.7,sustainable development goals;energy tech;industrial technology;climate tech,real estate;energy,energy efficiency,early growth,Intelligent Venture Capital;Betafabrik,venture_capital;accelerator,Cologne
EINHUNDERT,Digital green electricity supplier,Europe,Germany,Cologne,50.9488,6.9110374,8.0,sustainable development goals;climate tech;green buildings;urban tech;esco,real estate;energy,energy providers;clean energy,late growth,NRW.BANK;High Rise Ventures;Wi Venture;Übermorgen Ventures;TechQuartier;Clima Now;EWE AG;Triodos Investment Management,"investment fund;venture_capital;venture_capital;venture_capital;accelerator;corporate;corporate;advisor,corporate_venture_fund",Cologne
Envelio,"A software company that provides solutions for the energy sector and is based in Cologne, Germany",Europe,Germany,Cologne,50.9409967,6.8883915,8.07,smart grid;sustainable development goals;energy tech;industrial technology;climate tech;spinout,energy,energy efficiency;energy storage,late growth,High-Tech Gründerfonds;Demeter Partners;ECapital;RWTH Aachen University;EIT Climate-KIC;Eon UK PLC;ECAPITAL;European Innovation Council,"venture_capital;private_equity,venture_capital;corporate;university;accelerator;corporate;venture_capital;government",Cologne
Plant Jammer,A vegetarian cooking app that uses AI to propose recipes and guide the cooking process,Europe,Denmark,Copenhagen,55.7047103,12.554832,4.42,cooking;cooking tech;food waste;sustainable development goals;climate tech;waste reduction;circular economy,food;energy,kitchen & cooking tech;waste solution,seed,Dr.Oetker;VF Venture (Vækstfonden);Miele;All About Cake;MassChallenge,corporate;venture_capital;corporate;venture_capital;accelerator,Copenhagen
Intelligent Pollutant Monitoring (IPM),Develops an innovative sensor application to continuously detect the pollutant level in the given environment,Europe,Denmark,Copenhagen,55.5718841,12.2357845,1.27,pollution;water treatment;sustainable development goals;climate tech,energy,water,seed,Eurostars SME programme;Horizon 2020 FTI (Fast Track to Innovation),government;government,Copenhagen
BioGasol,Develops technology for producing renewable biofuels,Europe,Denmark,Copenhagen,55.7333442,12.3908066,15.0,biofuel;sustainable development goals;climate tech,energy,oil & gas,seed,Fjord Capital,"private_equity,venture_capital",Copenhagen
Motatos,"An online retail store that offers a wide variety of food, beverages and household products to customers",Europe,Denmark,Copenhagen,55.6867243,12.5700724,38.0,food waste;waste reduction;sustainable development goals;throw-away economy;climate tech;circular economy,food;energy,food logistics & delivery,seed,Blume Equity;SEB Private Equity;Exor;Gullspång Re:food;Edastra;LeadX Capital Partners;Norrsken VC,"venture_capital;private_equity,venture_capital;corporate;venture_capital;venture_capital;venture_capital;venture_capital",Copenhagen
SecondCircle,Helping companies go carbon neutral by transforming their CO2 emission into valuable products,Europe,Denmark,Copenhagen,55.735202,12.514807,44.2,sustainable development goals;carbon capture and storage;climate tech;carbon utilisation;circular economy,energy,clean energy;waste solution,early growth,Atlantic Labs;ACME Capital,venture_capital;venture_capital,Copenhagen
Monta,A platform for EV owners to charge seemless both at home and when away,Europe,Denmark,Copenhagen,55.6867243,12.5700724,49.97,charging technology;nordic rising star 2022;sustainable development goals;ev charging;ev charging software;electric mobility;top 50 nordic rising star 2022 denmark,energy;transportation,energy providers;energy efficiency;mobility,late growth,Pale blue dot;ByFounders;VF Venture (Vækstfonden);Jeppe Rindom;Creandum;Headline (formerly e.ventures);AENU;Energize Ventures;2xN,"venture_capital;venture_capital;venture_capital;angel;venture_capital;venture_capital;venture_capital;venture_capital;private_equity,venture_capital",Copenhagen
LastObject,Eliminating single-use items by creating reusable sustainable alternatives,Europe,Denmark,Copenhagen,55.6688281,12.6222726,5.1,nordic rising star 2022;climate tech;sustainable development goals;b corp;circular economy;waste reduction,energy,waste solution,early growth,VF Venture (Vækstfonden);The Footprint Firm;Jacob Wolff-Petersen,venture_capital;venture_capital;angel,Copenhagen
Nordsense,A complete end-to-end waste management solution that monitors container levels and applies advanced data analytics to deliver directions to a driver,Europe,Denmark,Copenhagen,55.6782278,12.5711882,4.13,industrial iot;industry 4.0;sustainable development goals;industrial connectivity;industrial technology;manufacturing tech;climate tech;nordic rising star 2022;manufacturing,energy;enterprise software,waste solution,early growth,Rincon Venture Partners;Root Ventures;New Enterprise Associates;Sky Ocean Ventures;Henrik Rosendahl;Juha Christensen;Klaus Oestermann;Peter Jensen;ACME Capital;Planet Fund,venture_capital;venture_capital;venture_capital;corporate_venture_fund;angel;angel;angel;angel;venture_capital;venture_capital,Copenhagen
Nerve Smart Systems,Develops battery management system that allows controlled and optimized battery cell management,Europe,Denmark,Copenhagen,55.6473739,12.1426152,2.47,lithium ion batteries;sustainable development goals;climate tech,energy;semiconductors,energy storage,early growth,European Innovation Council,government,Copenhagen
Wavepiston,"Developed a very promising technology to harvest the energy from waves, both for electricity production and desalination of sea water (producing freshwater)",Europe,Denmark,Copenhagen,56.0385864,12.6199068,4.8,sustainable development goals;hydropower;marine energy;climate tech;bluetech;blue economy,energy,water;clean energy,early growth,European Innovation Council;Horizon 2020 FTI (Fast Track to Innovation);Eurostars SME programme;DanBAN - Danish Business Angels,government;government;government;angel_fund,Copenhagen
Too Good To Go,App that offers a solution to sellers and individuals by allowing merchants to put unsold baskets online at low prices available when they close,Europe,Denmark,Copenhagen,55.713,12.569982,68.45,recycling;food waste;waste reduction;b corp;nordic rising star 2022;sustainable development goals;techscale200;climate tech;social entrepreneurship;circular economy;top 50 nordic rising star 2022 denmark,food;energy,waste solution;food logistics & delivery;in-store retail & restaurant tech,late growth,Preben Damgaard;Mike Lee;Blisce;VF Venture (Vækstfonden);Sap.iO Foundry Munich;Sap.io;KIMPA - Impact Investing,"angel;angel;venture_capital;venture_capital;accelerator;accelerator;advisor,family_office",Copenhagen
MicroShade,A passive and highly effective shading element fully integrated into a double or triple pane insulating glazing unit,Europe,Denmark,Copenhagen,55.657124,12.268362,24.55,solar energy;sustainable development goals;climate tech,real estate;energy,energy efficiency;clean energy,early growth,VF Venture (Vækstfonden);SET Ventures,venture_capital;venture_capital,Copenhagen
Seaborg Technologies,"Developing a nuclear power plant concept based on a molten salt reactor, to provide abundant, affordable, and sustainable energy",Europe,Denmark,Copenhagen,55.7043879,12.553435,22.8,nuclear fission;sustainable development goals;climate tech;nordic rising star 2022;top 50 nordic rising star 2022 denmark;novel energy,energy,clean energy,late growth,Eurostars SME programme;INDEX: Design to Improve Life;David Helgason;Lars Fløe Nielsen;Mette Fløe Nielsen;Anders Holch Povlsen;Pre seed innovation;Peter Holm;Nordic Makers VC;Investbridge Capital;EIC Fund (European Innovation Council Fund);European Innovation Council,government;corporate;angel;angel;angel;angel;venture_capital;angel;venture_capital;venture_capital;venture_capital;government,Copenhagen
electricitymap,Computing the origin of electricity and its associated carbon emissions,Europe,Denmark,Copenhagen,55.6867243,12.5700724,1.0,open source;climate tech;sustainable development goals;carbon tracking & offset,energy,energy efficiency,early growth,Google,corporate,Copenhagen
AscendXYZ,"Our service is browser based and feeds on aerial- and satellite imagery. We offer a complete solution from aerial data acquisition, remote sensing to the customization of the analysis to your needs into an user friendly service",Europe,Denmark,Copenhagen,55.6897014,12.5646738,1.22,eic;remote sensing;aerial photography;sustainable development goals;wind energy;space tech;climate tech;esa;esa sme;space downstream;space tech to aviation;esa bass;biodiversity,energy;enterprise software,clean energy,seed,European Innovation Council,government,Copenhagen
Clever,CLEVER is the leading electric mobility service provider in Scandinavia,Europe,Denmark,Copenhagen,55.6487956,12.5511715,33.33,ev charging;sustainable development goals;climate tech;nordic rising star 2022;top 50 nordic rising star 2022 denmark;electric mobility;ev services,energy;transportation,clean energy;energy providers;mobility,late growth,,,Copenhagen
Aquaporin,Developing advanced biotechnologies to purify water and desalinate seawater,Europe,Denmark,Copenhagen,55.8006239,12.5204752,7.55,water treatment;sustainable development goals;desalination;biotech and pharma;climate tech;bluetech;blue economy,health;energy,water;biotechnology,late growth,European Innovation Council;Syddansk Teknologisk Innovation;Syddansk Innovation;Market Maturation Fund,government;venture_capital;venture_capital;venture_capital,Copenhagen
Bawat,A unique technology for ballast water treatment management,Europe,Denmark,Copenhagen,55.868835,12.492742,2.41,water treatment;marine;pollution;sustainable development goals;maritime;climate tech;blue economy;bluetech,energy;transportation,clean energy;water,early growth,European Innovation Council;Market Maturation Fund,government;venture_capital,Copenhagen
MicroShade A/S.,"MicoShade is a Danish company that specialises in developing and marketing advanced, transparent solar shading",Europe,Denmark,Copenhagen,55.6354086,12.2551146,4.53,sustainable development goals;climate tech;nordic rising star 2022,real estate;energy,energy efficiency;construction,early growth,SET Ventures;Lucros Investment;VF Venture (Vækstfonden),venture_capital;venture_capital;venture_capital,Copenhagen
HPNow,"Developed a clean method of generating hydrogen peroxide using only water, air, and electricity",Europe,Denmark,Copenhagen,55.6990434,12.5560737,6.89,livestock;aquaculture;water treatment;sustainable development goals;hydrogen;climate tech;nordic rising star 2022;novel energy;hydrogen novel energy,food;energy,clean energy;water;agritech,early growth,Eurostars SME programme;European Innovation Council;AP Ventures;Evonik Venture Capital;EIT Climate-KIC,government;government;venture_capital;corporate_venture_fund;accelerator,Copenhagen
4Life Solutions (formerly SolarSack),An affordable and sustainable household water treatment technology that disinfects and purifies water,Europe,Denmark,Copenhagen,55.7158939,12.5496169,1.82,sustainable development goals;solar energy;climate tech;nordic rising star 2022,energy,water;clean energy,early growth,EIT Climate-KIC;Megatrend Invest A/S,accelerator;venture_capital,Copenhagen
Steeper Energy Aps,Developing and commercializing its proprietary and proven Hydrofaction platform,Europe,Denmark,Copenhagen,55.853055,12.50034,1.84,biofuel;biomass,energy,oil & gas,early growth,European Innovation Council;Danish Energy Agency;National Research Council Canada;Alberta Innovates Technology Futures,government;venture_capital;government;venture_capital,Copenhagen
Reduced,Specializes in creating food products made from surplus produce,Europe,Denmark,Copenhagen,55.68064,12.58351,3.29,sustainable development goals;climate tech;circular economy;recycling;waste reduction,food;energy,waste solution;kitchen & cooking tech;innovative food,early growth,Impact Capital Partners;Rockstart;Basque Culinary Center - Culinary Action;VF Venture (Vækstfonden);VÅR Ventures;Pollen Street Capital,venture_capital;accelerator;accelerator;venture_capital;venture_capital;private_equity,Copenhagen
Lun,"Removes the barriers that stand in the way of heat pump adoption, for the benefit of citizens, installers and society-at-large",Europe,Denmark,Copenhagen,55.6867243,12.5700724,10.3,heat pump;climate tech;sustainable development goals;building energy efficiency;urban tech,energy,energy efficiency;clean energy,early growth,Loric Ventures;Partech;Norrsken VC;Foundamental;Lowercarbon Capital;MCJ Collective,venture_capital;venture_capital;venture_capital;venture_capital;venture_capital;venture_capital,Copenhagen
Dall energy,Offers new biomass technologies with improved economy and reduced environmental impact,Europe,Denmark,Copenhagen,55.8742125,12.4967245,2.45,biomass;biofuel;sustainable development goals;climate tech,energy,waste solution;energy efficiency,early growth,European Innovation Council;Market Maturation Fund,government;venture_capital,Copenhagen
Heliac,Utility-scale solar thermal at costs below any alternative anywhere,Europe,Denmark,Copenhagen,55.901527,12.492434,1.56,solar energy;sustainable development goals;optical technology;climate tech,energy,clean energy;energy providers,early growth,Market Maturation Fund;Plug and Play;EIT Climate-KIC;Plug & Play Topeka,venture_capital;venture_capital;accelerator;accelerator,Copenhagen
DP CleanTech,Provides photocatalytic decontamination systems for industrial water and wastewater treatment,Europe,Denmark,Copenhagen,55.715396,12.429887,2.42,recycling;sustainable development goals;climate tech;circular economy;wastewater treatment,energy,waste solution;water,late growth,Northstar Ventures;IP Group,venture_capital;venture_capital,Copenhagen
Reel,Democratizes the renewable energy market by making it possible for groups of SMEs to act as one synthetic large company and enter into a PPA,Europe,Denmark,Copenhagen,55.672854,12.578631,2.3,sustainable development goals;climate tech;nordic rising star 2022,energy,energy providers;clean energy;energy efficiency,early growth,EIT Climate-KIC;The Footprint Firm;UVC Partners;North East Family Office;Christian Bach;Jürgen Mayerhofer;Bo Wase,accelerator;venture_capital;venture_capital;family_office;angel;angel;angel,Copenhagen
Hyme,Hyme develops thermal energy storage solutions based on the use of molten hydroxide salts as a storage medium,Europe,Denmark,Copenhagen,55.704369,12.553602,10.91,thermal energy storage;sustainable development goals;climate tech;nordic rising star 2022;stationary energy storage,energy,energy storage,early growth,Heartland A/S.;Seaborg Technologies,family_office;corporate,Copenhagen
Amminex,Offers superior solutions for diesel exhaust aftertreatment helping to create cleaner air in cities,Europe,Denmark,Copenhagen,55.738414,12.48614,36.17,automotive;bus;chemistry;sustainable development goals;climate tech,energy;transportation,clean energy;vehicle production;oil & gas,seed,Seed Capital Denmark;Conduit Ventures;Faurecia;European Innovation Council;Innovation Fund Denmark;Market Maturation Fund,venture_capital;venture_capital;corporate;government;venture_capital;venture_capital,Copenhagen
Nualight,Nualight - Creating smarter spaces with LED innovation,Europe,Ireland,Cork,51.89081,-8.5225915,13.91,parking;consumer electronics;sustainable development goals;led lights manufacturer;climate tech,energy,energy efficiency,early growth,Adaxia Capital Partners;EIT Climate-KIC;Enterprise Ireland;4th Level Ventures;Greencoat Capital;CCC Private Equity,"private_equity,venture_capital;accelerator;government & non-profit;venture_capital;advisor;private_equity,venture_capital",Cork
Amarenco,"Independent power company that invests in, builds and operates Renewable Energy powerplants",Europe,Ireland,Cork,51.8949849,-8.4654024,470.3,solar energy;sustainable development goals;climate tech,energy,energy providers;clean energy,late growth,Eiffel Investment Group;IDIA Capital Investissement;Sofilaro Capital;Tikehau Capital;Arjun Infrastructure Partners,"private_equity;private_equity,venture_capital;corporate_venture_fund;private_equity;venture_capital",Cork
Elmodis,End-to-end IoT solution that monitors performance and improves operating efficiency of industrial machines,Europe,Poland,Cracow,50.0644456,19.9892977,4.68,predictive maintenance;sustainable development goals;industrial analytics;industrial technology;manufacturing tech;climate tech;manufacturing,energy,energy efficiency,early growth,Innovation Nest;Intel Capital;SET Ventures;PFR Ventures;Meidensha,"venture_capital;corporate_venture_fund;venture_capital;corporate_venture_fund,private_equity,venture_capital;corporate",Cracow
Focused Energy,Focused Energy is a US/German startup. The company aims to use the best talent on both sides of the Atlantic to develop fusion as a clean energy source based on laser technology,Europe,Germany,Darmstadt,49.8853012,8.64312396,13.64,nuclear fusion;sustainable development goals;climate tech;novel energy,energy,clean energy,early growth,Prime Movers Lab;Alex Rodriguez;Marc Lore;Tony Florence;A-Rod Corp,venture_capital;angel;angel;angel;venture_capital,Frankfurt
Adaptive balancing power,"Adaptive Balancing Power develops, manufactures and distributes an innovative energy storage system for high power applications from frequency control for grid and microgrid stability to fast charging of heavy EV and recuperation of braking energy in the rail sector",Europe,Germany,Darmstadt,49.8851491,8.6514502,2.59,battery;sustainable development goals;climate tech;ev battery;stationary energy storage;electric mobility,energy;transportation,vehicle production;energy storage,early growth,European Innovation Council;Horizon 2020 FTI (Fast Track to Innovation);Starter Business Acceleration;EIT Climate-KIC;Companisto,"government;government;accelerator;accelerator;angel_fund,private_equity",Frankfurt
MagnoTherm Solutions,"MagnoTherm develops technologies that can replace typical gas compression cooling or heating solutions. It meets current and future EU F-gas rules, is explosion-free, and is nonflammable",Europe,Germany,Darmstadt,49.85900505,8.67919575,8.8,building energy efficiency;building cooling;green buildings;sustainable development goals;efficient air cooling and heating;urban tech;climate tech,energy,energy efficiency,early growth,TechQuartier;Technische Universität Darmstadt;Strascheg Center for Entrepreneurship;DICA - Drink Innovation Campus;European Innovation Council;Extantia Capital;LAUDA;Revent Capital;better ventures;BMH Beteiligungs Hessen,accelerator;university;accelerator;accelerator;government;venture_capital;corporate;venture_capital;venture_capital;corporate,Frankfurt
Likuid nano,"Supplying Membranes and Filtration Solutions to our Partners, Engineering Companies and OEM's worldwide",Europe,Spain,Donostia-San Sebastian,43.318334,-1.9812313,2.47,sustainable development goals;climate tech,energy,waste solution;water,seed,European Innovation Council,government,Bilbao
Alerion,"Specializes in development of high-performance embedded software, computer vision applications and artificial intelligence",Europe,Spain,Donostia-San Sebastian,43.29498,-1.98633,2.02,autonomous mobility;drones;space;high performance computing;vivatech2019;automotive;aviation & aerospace;embedding technology;industrial drones;industrial technology;industrial robotics;sustainable development goals;wind energy;climate tech;space tech;esa bic;esa;space downstream;novel ai;space tech to energy;space tech to aviation,energy;robotics,clean energy,early growth,European Innovation Council;Easo Ventures;Orza Investments;ESA BIC Bavaria;REPSOL Foundation;BIC Gipuzkoa;Basque Government;Diputación Foral de Gipuzkoa,"government;venture_capital;venture_capital;accelerator,incubator;corporate_venture_fund,venture_capital;accelerator;government;government",Bilbao
Buntplanet,Software for reducing water losses and engineering,Europe,Spain,Donostia-San Sebastian,43.2954985,-2.0110707,1.54,sustainable development goals;smart cities;climate tech,energy,water,early growth,European Innovation Council;Diputación Foral de Gipuzkoa;Basque Government,government;government;government,Bilbao
Heliatek,"Develops, produces and distributes industrial-grade organic PV solar solutions for virtually any building surface",Europe,Germany,Dresden,51.07899955,13.69401069,117.55,organic;solar energy;sustainable development goals;smart building;climate tech,energy,clean energy,late growth,GP Bullhound;Technologiegründerfonds Sachsen;Wellington Partners;High-Tech Gründerfonds;BASF Venture Capital;ECAPITAL;BNP Paribas;Engie Rassembleurs d’Energies;Innogy Ventures;CEE Group;Aqton;European Investment Bank;Tudag;BASF;Innogy Innovation Hub;Innogy Venture Capital;ENGIE New Ventures;Future Energy Ventures;Bosch;Robert Bosch Venture Capital;Vincent RUINET,"advisor,venture_capital;venture_capital;venture_capital;venture_capital;corporate_venture_fund;venture_capital;corporate;venture_capital;corporate_venture_fund;venture_capital;venture_capital;government & non-profit;venture_capital;corporate;accelerator;corporate_venture_fund;corporate_venture_fund;corporate_venture_fund,venture_capital;corporate;corporate_venture_fund;angel",Dresden
Sunfire,Develops and produces high-temperature fuel cells which facilitate the generation of electric power and heat,Europe,Germany,Dresden,51.02744,13.78711,234.0,sustainable development goals;hydrogen;climate tech;novel energy;hydrogen novel energy,energy,energy storage;clean energy,late growth,Inven Capital;Electranova Capital;TotalEnergies Carbon Neutrality Ventures;Eurazeo;Carl Berninghausen;Paul Wurth;Neste;Planet First Partners;Lightrock;Copenhagen Infrastructure Partners;Blue Earth (formerly PG Impact Investments);Climate Pledge Fund;Carbon Equity,"venture_capital;corporate_venture_fund;corporate_venture_fund;private_equity,venture_capital;angel;corporate;corporate;venture_capital;private_equity,venture_capital;advisor,private_equity;venture_capital;corporate_venture_fund;corporate",Dresden
Cloud & Heat,"Cloud-based computing, the waste heat of which is used to heat buildings and to heat water",Europe,Germany,Dresden,51.0504088,13.7372621,15.15,cloud computing;innovation radar;private cloud;openstack;sustainable development goals;climate tech,energy;hosting,energy efficiency,late growth,Shutterstock;Inven Capital;VNG Innovation;Felix Schaal;Seedmatch;ETF Partners;Plug and Play;Plug & Play Topeka,corporate;venture_capital;venture_capital;angel;crowdfunding;venture_capital;venture_capital;accelerator,Dresden
NOVUM,"Active in the areas of battery condition monitoring, predictive maintenance, and charging management",Europe,Germany,Dresden,51.0589378,13.7266683,0.91,battery;sustainable development goals;climate tech,energy,energy storage,early growth,High-Tech Gründerfonds;Hettich Beteiligungen,venture_capital;angel,Dresden
Novaled,"Provides proprietary organic materials and technologies for superior OLEDs in display, lighting and high performance OSC",Europe,Germany,Dresden,51.0562673,13.7759468,26.2,oled;organic;consumer electronics;drones;solar energy;sustainable development goals;climate tech,energy,clean energy,late growth,Omnes Capital;Samsung Electronics;ECAPITAL;TIIN Capital;Tudag;KFW;Innovation Capital;TechFund;Omnes Capital,"private_equity,venture_capital;corporate;venture_capital;venture_capital;venture_capital;investment fund;venture_capital;venture_capital;venture_capital",Dresden
